bamId,nscGain,rscGain
ENCFF693OEL,0.00497964592276,0.0386505207828
ENCFF898NMW,0.001598793143,0.0463719908349
ENCFF772VSQ,0.00166292249502,0.00782214689286
ENCFF900RPG,-0.00089694439913,0.0452622037552
ENCFF873CGO,0.00103101277122,0.00956216804423
ENCFF262DXP,0.0020152482136,0.00405489860975
ENCFF342CGZ,0.00082458689505,0.00584991077397
ENCFF616RGW,0.00173740724902,0.0148184796991
ENCFF086MAL,0.00192947473565,0.00564682086544
ENCFF839ARD,-0.00024417113553,0.0439685565525
ENCFF822ESO,0.0237323951275,0.0244858533635
ENCFF000PGN,0.0485481942046,0.00522692445119
ENCFF221QCF,0.00413137098709,0.0877039349093
ENCFF619FIE,0.00826869555723,0.02255207458
ENCFF706HJC,-7.33872161298e-05,0.0375836859961
ENCFF155YHS,0.0133663638872,0.0159699342604
ENCFF519TWC,0.00071885182343,0.102725715662
ENCFF616NXH,-0.00114318653265,0.0626069901048
ENCFF629GVZ,-0.00128236809983,0.0768888986354
ENCFF921UWK,0.00271509006506,0.134176986978
ENCFF211TQG,0.00503381203833,0.175095250169
ENCFF000PGO,0.00142435576605,0.0108211312797
ENCFF807KJE,0.00088057265434,0.0185887775824
ENCFF046FAF,0.0121644770861,0.0458503341469
ENCFF817LMJ,0.00209093065407,0.0487204392736
ENCFF524GMH,0.00098380750717,0.0253416212272
ENCFF793MBH,0.0004979749915,0.0432266588837
ENCFF852FET,0.00033722242645,0.106363209809
ENCFF248JTU,0.0002290962691,0.018231100843
ENCFF559SXA,0.00074007320171,0.029541053829
