experiment,NSC-Control,RSC-Control,NSC-ENCODE,RSC-ENCODE,NSC-50Percent,RSC-50Percent,NSC-ENCODEplusPeakPass,RSC-ENCODEplusPeakPass
ENCFF000PGN,2.14403589529443,1.15261546328468,2.1734836152259,1.15694342167604,2.17011317575519,1.15622838395212,2.24505563857442,1.15929985764548
ENCFF000PGO,1.3084717578367,1.13835404012912,1.27643778224975,1.15094306802285,1.31537520162626,1.14608921821874,1.32364996402304,1.15088361778987
ENCFF000XLK,1.3891004677227,1.54797002204171,1.40928594506315,1.94244055313682,1.40891324496897,1.885810575569,1.43500906636331,1.94049163010733
ENCFF000XLL,1.51653002666332,1.73150884768508,1.54427148218624,2.07049673008188,1.554626570181,2.04260873124748,1.5754123689233,2.06781687577783
ENCFF000XOF,1.02804453066245,0.691718317919041,1.0244303811,1.30640510185691,1.02557737163891,1.24797978558054,1.02570179771164,1.32980727752418
ENCFF000XOH,1.03095394584363,0.634487225542011,1.02744721493601,1.51220678922054,1.02861638312631,1.46934531487281,1.02867190356866,1.52585691733231
ENCFF000YZD,1.06473875833202,0.403484914771622,1.0515566034409,2.01519346656607,1.0553678530252,1.18189908458305,1.05537346120565,2.0556167693667
ENCFF000YZE,1.058514320162,0.466844451838341,1.04480040192813,2.53487878850464,1.04704624979807,1.31155225494084,1.04815876465034,2.55341918509052
ENCFF005BXI,1.04929322094868,1.32117610441639,1.05249449383686,0.749575628872607,1.0513641034991,1.72797447337179,1.05170219695963,1.57079650890971
ENCFF034WKA,1.10126128093573,2.61426298623418,1.10942299322047,2.45996175018941,1.10901288908626,2.47651068251459,1.11419849186741,2.47902650766536
ENCFF038NOW,1.02876672468574,0.570612882296699,1.02878574324566,0.58943893612359,1.0292912429447,0.767905101049234,1.02905007228507,0.788184709952783
ENCFF045BQI,1.01534645782984,0.230880561226801,1.01547126399135,0.258368009160694,1.01583997258303,0.306413956384799,1.0158403766101,0.307200828038435
ENCFF046FAF,1.88367380635555,2.81460501174453,1.89583828344161,2.86045534589146,1.9557419793599,3.00008711738826,1.97563753161983,3.02829094038031
ENCFF061DUL,1.0538524868594,0.80537597700129,1.05604455160741,0.836575179330337,1.05436216213618,0.984508747880182,1.05632337051242,0.994523940196799
ENCFF061RFH,1.02395816402143,0.372762988714221,1.02922837746589,0.452631342803377,1.09082324078018,0.961370516594355,1.05469045141897,0.986184019749291
ENCFF086MAL,1.55561724715369,2.19055103757276,1.55754672188934,2.1961978584382,1.56986316734914,2.19647075789027,1.57922836433978,2.1975845636249
ENCFF106JJJ,1.07868878203765,2.45953259022784,1.08013885651379,2.46666274762056,1.08582016919452,2.39352903018762,1.08902833053119,2.39915871333693
ENCFF155YHS,1.52957757325602,1.90719605805537,1.53960828287174,1.9254297954609,1.56204226298064,2.002327453334,1.5830557337359,2.0126207509875
ENCFF188YBS,1.03000109849759,0.894637229023615,1.02893722723859,0.914715998705017,1.03015600656587,1.02106278299981,1.02926919775171,0.993190323701435
ENCFF211TQG,1.35864528089195,2.30113918928175,1.39968602095593,2.76414028906438,1.42570347128782,3.13675937461566,1.43304324057635,3.20039276502653
ENCFF221QCF,1.12758806174765,1.98598719714689,1.14979574330349,1.86692505469111,1.14893824319874,1.87545458540911,1.15429897065578,1.96800263659253
ENCFF226SIV,1.01844875782657,0.210108058200276,1.01800631671386,0.230585344568791,1.01903611610096,0.267716823366523,1.01801530833068,0.259023923506838
ENCFF248JTU,1.10103822381227,2.37570167345333,1.101912540067,2.39584620303897,1.13770887350109,2.37188787929912,1.1052278654474,2.39148406921562
ENCFF248TCM,1.10005194066746,1.27375859481455,1.10144920955043,1.438048460252,1.10515402382806,2.82563967016699,1.10659570847707,1.91804243948639
ENCFF262DXP,1.51918304873508,2.18750957178827,1.49097572785268,2.19698435468761,1.61614068708813,2.26087484811665,1.54022800656893,2.18997228995817
ENCFF272NAY,1.69433445930446,1.43740794931074,1.69669431132157,1.43774093589167,1.71767952177505,1.4388367450469,1.73682939306128,1.43823314496528
ENCFF280WMP,1.16341197193748,0.887369117599668,1.17407441930368,0.950126531199153,1.16306017585439,1.11807706436461,1.17706189514993,1.13732878060987
ENCFF337IBI,3.75618337382369,1.44234071831607,3.8745234333564,1.446024332868,3.89263460245591,1.45409618340552,4.05045208894201,1.4545665278582
ENCFF342CGZ,1.25865712370162,1.8695591929418,1.25948171059667,1.87540910371577,1.26469662220837,1.87595762155404,1.26920437976101,1.87658690869559
ENCFF369TPH,1.02299683812132,0.388020649235924,1.0224201972911,0.437225653806399,1.02169023875383,0.552692798548367,1.02115216132844,0.556559747164663
ENCFF429NUZ,3.0914238040439,1.24607265992164,3.16002873041691,1.24979134481371,3.20742598615949,1.25849573579685,3.30255997224908,1.25880693151913
ENCFF506MFX,1.68706570133,1.23503117438379,1.70584529431683,1.25559091871795,1.73182923555886,1.3174767186291,1.75436890162409,1.32360621135357
ENCFF519TWC,1.11195318534314,1.52086101673592,1.10176456062814,1.4137967772912,1.11528907955011,1.89676216242398,1.11645669976289,1.92621510091776
ENCFF524GMH,1.10492826048252,2.66439903947349,1.10584110398176,2.69105298975625,1.10814454419539,2.69076175631265,1.11065881605856,2.68656536861618
ENCFF534VEA,1.08367260694227,0.772299315878652,1.0821956492407,0.817119971633222,1.082576340447,0.913798375571127,1.08318546809894,0.915852375530902
ENCFF559SXA,1.04808075170464,1.02053460522398,1.05301126488271,1.29720426245619,1.04675493293123,1.41838652689188,1.05552684074618,1.34351603184807
ENCFF568ZAY,1.04895732410839,0.932468521288118,1.04903624411948,0.983946050379587,1.0411959391545,1.59883616223116,1.04940029795022,1.25238557012612
ENCFF581CGZ,1.13103016787817,1.19496260495403,1.14980092765078,1.27277664577753,1.16445998634133,1.59000007032434,1.15750486057807,1.45672636282025
