usekernel,fL,adjust,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
FALSE,0,1,0.9753,0.9388,0.9412,0.01024,0.01865,0.01928
 TRUE,0,1,0.9521,0.9445,0.7982,0.01272,0.01678,0.03549
