experiment,NSC-Control,RSC-Control,NSC-ENCODE,RSC-ENCODE,NSC-PeakPass,RSC-PeakPass
ENCFF000PGN,2.14403589529443,1.15261546328468,2.14410165397803,1.15261395614512,2.15126887286208,1.1547135334457
ENCFF000PGO,1.3084717578367,1.13835404012912,1.30848685815427,1.1384181309142,1.31015151458281,1.14139991459526
ENCFF000XLK,1.3891004677227,1.54797002204171,1.38964965183385,1.5474922794514,1.39400004163252,1.65091253422935
ENCFF000XLL,1.51653002666332,1.73150884768508,1.5177531717808,1.73012776397484,1.53244850713539,1.86696217558023
ENCFF000XOF,1.02804453066245,0.691718317919041,1.02757699544317,0.593867195727365,1.02525831068749,0.762951202430934
ENCFF000XOH,1.03095394584363,0.634487225542011,1.03037722229693,0.648421121766846,1.02836328818317,0.871670154590309
ENCFF000YZD,1.06473875833202,0.403484914771622,1.06517433383964,0.382066055818472,1.0584055316511,0.492607581706106
ENCFF000YZE,1.058514320162,0.466844451838341,1.05622660853073,0.388979552189458,1.04931118560386,0.494774762966631
ENCFF005BXI,1.04929322094868,1.32117610441639,1.04918880905514,1.33245356082745,1.05082857409417,1.87953013843603
ENCFF034WKA,1.10126128093573,2.61426298623418,1.10569974195016,2.44487214722204,1.09602502881939,2.78281482414554
ENCFF038NOW,1.02876672468574,0.570612882296699,1.02914940306196,0.533672353132421,1.02580871603321,1.47972574522323
ENCFF045BQI,1.01534645782984,0.230880561226801,1.01493521029543,0.23068312047992,1.01311076848346,0.477531433486923
ENCFF046FAF,1.88367380635555,2.81460501174453,1.88658568707891,2.81841934793804,1.97109533429918,3.16770581378823
ENCFF061DUL,1.0538524868594,0.80537597700129,1.0535444169351,0.812115979042048,1.05106814137057,1.1095605175736
ENCFF061RFH,1.02395816402143,0.372762988714221,1.02343661191816,0.36874312466007,1.04926486622614,1.04062795894609
ENCFF086MAL,1.55561724715369,2.19055103757276,1.55561724715369,2.19055103757276,1.55937118541169,2.21098061699463
ENCFF106JJJ,1.07868878203765,2.45953259022784,1.08324251107144,2.36787984937666,1.081954964729,2.47931090600426
ENCFF155YHS,1.52957757325602,1.90719605805537,1.52729019961028,1.91177011816161,1.56629901965446,2.08176283799969
ENCFF188YBS,1.03000109849759,0.894637229023615,1.02983806224441,0.911113861874126,1.02727658172643,1.23725200440584
ENCFF211TQG,1.35864528089195,2.30113918928175,1.3957197852984,2.62157136596101,1.43069704795197,3.59512033511664
ENCFF221QCF,1.12758806174765,1.98598719714689,1.14564503365453,1.79031488001658,1.14596916446309,2.03812857038088
ENCFF226SIV,1.01844875782657,0.210108058200276,1.01783219362732,0.210496581716308,1.015692885287,0.432102816912194
ENCFF248JTU,1.10103822381227,2.37570167345333,1.10076030074024,2.3800775535864,1.0959948037397,2.5512879057568
ENCFF248TCM,1.10005194066746,1.27375859481455,1.10047753721169,1.28472105763219,1.10297287909541,3.16867965730163
ENCFF262DXP,1.51918304873508,2.18750957178827,1.51918304873508,2.18750957178827,1.52157577248545,2.20139920943954
ENCFF272NAY,1.69433445930446,1.43740794931074,1.6944276538924,1.43762911856547,1.70319976887095,1.43984758402917
ENCFF280WMP,1.16341197193748,0.887369117599668,1.16100219701312,0.908613727581178,1.17036594173269,1.25987971802281
ENCFF337IBI,3.75618337382369,1.44234071831607,3.76085407365402,1.44331458118517,3.89035516234916,1.46174234379534
ENCFF342CGZ,1.25865712370162,1.8695591929418,1.25865712370162,1.8695591929418,1.25983470009011,1.89267954356245
ENCFF369TPH,1.02299683812132,0.388020649235924,1.02301755658239,0.394255089591091,1.0180576883328,1.15500327460051
ENCFF429NUZ,3.0914238040439,1.24607265992164,3.09534876798957,1.24718413264294,3.20598645433788,1.26483985818319
ENCFF506MFX,1.68706570133,1.23503117438379,1.69012458973339,1.23761919783552,1.74988225847715,1.36657752859582
ENCFF519TWC,1.11195318534314,1.52086101673592,1.11208517424826,1.53179115955861,1.11518038565873,2.27961865940426
ENCFF524GMH,1.10492826048252,2.66439903947349,1.10473737596529,2.67117284910753,1.09799180606863,3.41953437467156
ENCFF534VEA,1.08367260694227,0.772299315878652,1.08156088625655,0.792865348709145,1.07773194710345,1.06941106629483
ENCFF559SXA,1.04808075170464,1.02053460522398,1.05191487966719,1.27484856994313,1.05360111373174,1.63049974529506
ENCFF568ZAY,1.04895732410839,0.932468521288118,1.04872885384712,0.931623948707675,1.04812225722573,1.60237864576605
ENCFF581CGZ,1.13103016787817,1.19496260495403,1.13039817453055,1.22361942036244,1.13810133749592,1.61625254805542
ENCFF587ARB,1.08995693225515,0.90827257460307,1.08967495124752,0.911445232444238,1.09068481009938,1.00955007179689
ENCFF616NXH,1.05251056205402,0.905692258432548,1.05201484875172,0.919832394873513,1.04814837164868,1.77704722362641
ENCFF616RGW,1.24475662440297,1.57188739356654,1.24475062983067,1.57852351293082,1.25126075788951,1.64269449016392
ENCFF619FIE,1.41157399973441,1.71964075153533,1.41224707408926,1.722106112186,1.43016133727097,1.82698835637371
ENCFF629GVZ,1.05088082434843,0.758208695357467,1.04962030975008,0.762212676152305,1.04563164537243,1.55370960585124
ENCFF693OEL,1.12067975599513,0.934630323456034,1.11924014085232,0.949541063512625,1.12373219926763,1.17933175978064
ENCFF693TLQ,1.0240323392962,0.496101350496347,1.03028029635576,0.467136876287955,1.02547731114437,1.31870545924025
ENCFF701DUO,1.05874987482831,1.02863510608947,1.05811459719545,1.04876377895449,1.05718417530867,1.33349062825903
ENCFF701IFH,1.07436617223454,0.68252776886463,1.07299467488499,0.692331403088722,1.07376454835754,0.902490780802858
ENCFF706HJC,1.05686386890463,0.668904223701162,1.05679506909837,0.671908828077837,1.05610518491631,1.08211953934845
ENCFF723TFB,2.33435254483305,2.10169706193626,2.33635157818087,2.10507176633887,2.41982688621964,2.15407855135889
ENCFF732ZCF,1.1206150905283,2.21156012501126,1.12147136222681,2.22183945677311,1.11860247966598,2.34213355400137
ENCFF743AGP,1.04952388053272,0.539083376729288,1.04941744414928,0.548306856754432,1.0442212286019,1.34859162947424
