Algorithm,Sensitivity,Specificity,Precision,FMeasure,NormalPrecision,NormalFMeasure,AUCROC
randomForest,0.947,0.96,0.0757,0.14,1,0.979,0.989,0.709
svmLinear,0.922,0.946,0.0569,0.107,1,0.972,0.977,0.234
svmRadial,0.829,0.968,0.0827,0.15,0.999,0.983,0.978,0.459
rpart,0.944,0.949,0.0608,0.114,1,0.974,0.968,0.494
naiveBayes,0.861,0.938,0.0475,0.0901,0.999,0.968,0.95,0.0678
randomForest,0.922,0.97,0.0964,0.175,1,0.985,0.99,0.652
svmLinear,0.912,0.948,0.0572,0.108,1,0.973,0.979,0.215
knn,0.884,0.963,0.0715,0.132,1,0.981,0.976,0.544
naiveBayes,0.915,0.926,0.0417,0.0798,1,0.962,0.963,0.144
svmRadial,0.763,0.975,0.0967,0.172,0.999,0.987,0.974,0.47
rpart,0.898,0.95,0.0582,0.109,1,0.974,0.952,0.468
knn,0.923,0.951,0.0689,0.128,1,0.975,0.979,0.595
knn,0.939,0.936,0.0495,0.094,1,0.967,0.98,0.547
svmLinear,0.947,0.939,0.0387,0.0745,1,0.968,0.98,0.318
randomForest,0.946,0.956,0.0536,0.101,1,0.978,0.989,0.69
knn,0.849,0.955,0.0312,0.0601,1,0.977,0.967,0.444
rpart,0.921,0.954,0.05,0.0948,1,0.977,0.951,0.482
knn,0.91,0.936,0.0401,0.0768,1,0.967,0.972,0.509
svmRadial,0.887,0.951,0.045,0.0856,1,0.975,0.981,0.365
knn,0.925,0.934,0.0443,0.0846,1,0.966,0.973,0.502
svmLinear,0.92,0.954,0.0567,0.107,1,0.976,0.978,0.181
rpart,0.859,0.96,0.0616,0.115,1,0.98,0.924,0.46
randomForest,0.909,0.966,0.0749,0.138,1,0.983,0.987,0.564
svmRadial,0.906,0.963,0.0697,0.129,1,0.981,0.983,0.495
knn,0.878,0.95,0.0477,0.0906,1,0.974,0.968,0.514
svmLinear,0.812,0.962,0.0503,0.0947,1,0.98,0.957,0.166
randomForest,0.802,0.98,0.0902,0.162,0.999,0.99,0.975,0.445
svmRadial,0.764,0.975,0.0701,0.128,0.999,0.987,0.958,0.377
naiveBayes,0.918,0.922,0.0391,0.0749,1,0.959,0.968,0.134
rpart,0.728,0.977,0.0733,0.133,0.999,0.988,0.911,0.402
svmLinear,0.915,0.947,0.0637,0.119,1,0.973,0.981,0.247
naiveBayes,0.953,0.923,0.0313,0.0605,1,0.96,0.976,0.165
knn,0.875,0.956,0.0528,0.0997,1,0.977,0.964,0.492
randomForest,0.935,0.969,0.108,0.193,1,0.984,0.991,0.637
rpart,0.897,0.934,0.0511,0.0968,1,0.966,0.915,0.474
knn,0.962,0.928,0.0495,0.0941,1,0.963,0.984,0.591
svmRadial,0.774,0.967,0.0841,0.152,0.999,0.983,0.974,0.372
naiveBayes,0.904,0.936,0.0413,0.079,1,0.967,0.958,0.0665
svmLinear,0.895,0.961,0.0721,0.133,1,0.98,0.976,0.158
